Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,174.5957,-65.8241,180,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.974,-120.777,0,top
C3,100uF,CAPAE660X800N,102.7176,-74.8665,180,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.8522,-73.4224,180,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.475,-73.3388,180,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.903,-78.2105,180,top
C7,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.2555,-81.534,0,top
C8,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.8664,-66.5607,90,top
C9,0.47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.9833,-56.4769,0,top
C10,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.1285,-85.725,180,top
C11,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.0245,-99.441,180,top
C12,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.2985,-75.1586,180,top
C13,100uF,CAPAE660X800N,143.9164,-80.1116,270,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.185,-83.5914,0,top
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.1893,-79.9592,0,top
C16,0.022uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.3625,-80.4672,0,top
C17,0.22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.1017,-122.5296,180,top
C18,0.22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.9889,-125.2728,180,top
C19,22uF,CAPAE530X610N,123.6064,-105.6132,180,top
C20,22uF,CAPAE530X610N,136.4488,-105.7148,0,top
C21,270uF,CAPAE830X1050N,110.8456,-113.284,180,top
C22,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.281,-69.1769,180,top
C23,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,168.7869,-61.3156,0,top
C24,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.6538,-85.6488,0,top
C28,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.59,-69.1769,180,top
C29,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.899,-69.1769,180,top
C30,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.208,-69.1769,180,top
C32,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.9613,-117.4877,0,top
C33,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.5009,-117.3988,180,top
C34,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.65,-126.6151,90,top
C37,100uF,CAPAE660X800N,142.2908,-129.9464,90,top
C38,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.2344,-128.4224,90,top
C39,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.9291,-119.634,270,top
C40,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.7501,-118.7704,180,top
C41,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.2852,-119.6633,270,top
C42,0.47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.3485,-130.048,0,top
C43,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.4412,-125.2728,0,top
D1,LED,LED_0805_2012Metric,125.2624,-54.9148,0,top
D2,ZM4733A-GS18,MELF_DO-213AB,110.989,-92.2909,180,top
D3,LESD5D5.0CT1G,LESD5D50CT1G,170.7383,-142.6591,270,top
D4,LED,LED_0805_2012Metric,146.2024,-101.8032,0,top
D5,SK44L-TP,D_SMC,110.9,-127.127,180,top
D6,LESD5D5.0CT1G,LESD5D50CT1G,177.8762,-142.6591,270,top
D7,LESD5D5.0CT1G,LESD5D50CT1G,174.30725,-142.6591,270,top
D8,LED,LED_0805_2012Metric,140.0198,-54.864,0,top
D9,ZM4733A-GS18,MELF_DO-213AB,121.0564,-134.9248,0,top
D10,LED,LED_0805_2012Metric,151.5133,-101.8032,180,top
D11,ZM4733A-GS18,MELF_DO-213AB,133.6548,-130.048,0,top
F1,1812L200_16V,FUSC4632X180N,110.9176,-120.9548,0,top
J6,USB_B_Micro,USB_Micro-B_Molex_47346-0001,174.23554,-148.36226,0,top
Q1,SS8050-G,SOT95P240X115-3N,185.3819,-120.7389,0,top
Q2,SS8050-G,SOT95P240X115-3N,177.3682,-121.8184,180,top
Q3,DMP2160U,SOT-23,111.125,-83.3374,90,top
Q4,NTR4501,SOT-23,101.2952,-90.297,270,top
Q5,NTR4501,SOT-23,126.746,-134.9756,270,top
Q6,DMP2160U,SOT-23,122.936,-139.8016,270,top
Q7,MMBT2222A,SOT95P240X120-3N,133.68,-90.551,90,top
Q8,DMP2160U,SOT-23,132.2324,-134.1628,0,top
Q9,NTR4501,SOT-23,134.6708,-142.0876,0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.61,-118.5164,270,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.61,-123.333,270,top
R3,750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.6896,-55.2864,270,top
R4,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.9833,-72.268766,0,top
R5,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.9833,-64.387833,180,top
R6,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.475,-78.248,180,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.8635,-85.7123,0,top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.9833,-80.1497,0,top
R9,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.8575,-84.2264,270,top
R10,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.1202,-90.923,270,top
R12,0.1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,108.864,-56.4642,180,top
R13,0.1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.027,-56.4388,0,top
R14,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.998,-88.0872,0,top
R15,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,101.2063,-80.0862,180,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,105.385,-85.7594,270,top
R18,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.9518,-85.7631,270,top
R19,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.547,-60.9918,180,top
R20,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.4188,-50.3428,0,top
R21,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.547,-65.06055,0,top
R22,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.547,-69.1293,0,top
R23,1.83k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.0048,-66.6496,180,top
R24,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.9921,-69.1896,180,top
R25,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.547,-77.2668,0,top
R26,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.547,-73.19805,0,top
R27,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.6103,-87.3125,0,top
R28,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.828,-55.356,270,top
R29,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.1676,-104.4448,180,top
R30,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.6672,-50.3428,0,top
R33,50,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.8132,-56.9468,0,top
R34,5.1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.1127,-75.0824,180,top
R36,330k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.806,-61.2648,0,top
R37,50,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.8244,-56.9976,0,top
R39,22.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.61,-142.2146,270,top
R40,47.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.61,-132.9088,270,top
R41,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.61,-137.5537,90,top
R42,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.61,-128.1397,270,top
R43,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.4412,-127.904,0,top
R44,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.8188,-56.9976,0,top
R45,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.0746,-82.5627,0,top
R46,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.4412,-130.5052,0,top
R47,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.5136,-130.556,180,top
R48,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.6744,-142.0368,180,top
R49,2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.6484,-94.2975,180,top
R50,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.9608,-52.07,180,top
R51,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.0502,-127.4826,0,top
R52,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172.9867,-124.0536,0,top
R53,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.8188,-52.07,180,top
R54,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.3955,-84.2264,270,top
R55,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.2093,-84.2932,270,top
R56,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.2055,-99.3648,0,top
R57,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.6373,-84.2297,270,top
R58,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.7828,-137.7696,0,top
R59,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.2664,-137.7696,0,top
R60,750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.5524,-104.4448,0,top
R61,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.6352,-137.7696,0,top
R62,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.0848,-137.7696,0,top
R63,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.2852,-124.0696,270,top
R64,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.4424,-106.9848,0,top
R65,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.3192,-122.428,0,top
R66,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3248,-115.6208,180,top
R67,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3756,-111.252,0,top
R68,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.3352,-126.238,180,top
R69,0.1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.0228,-134.2644,180,top
R70,0.1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.7152,-118.7704,0,top
R71,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.1468,-137.7696,180,top
R72,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136.414,-137.7696,0,top
R73,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.4572,-139.0396,0,top
R74,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.4224,-142.6464,0,top
RV1,10k,SM43TW103,101.854,-60.071,180,top
RV2,10k,SM43TW103,164.592,-137.0584,0,top
SW1,SW_SPST,SW_SPST_TL3342,164.2872,-145.542,90,top
SW2,SW_DIP_x01,SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm,125.158,-60.4012,180,top
SW3,SW_DIP_x01,SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm,140.122,-60.7695,0,top
SW4,SW_DIP_x01,SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm,148.5392,-109.728,180,top
SW5,SW_DIP_x02,SW_DIP_SPSTx02_Slide_Omron_A6S-210x_W8.9mm_P2.54mm,110.744,-135.89,0,top
SW6,SW_DIP_x01,SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm,133.5405,-98.2472,0,top
SW7,SW_DIP_x01,SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm,148.4884,-114.3508,180,top
U1,ESP32-WROVER,ESP32-WROVER,192.921,-102.616,270,top
U2,DRV8825PWP,Texas_Instruments-DRV8825PWP-Level_A,111.8997,-64.9605,270,top
U3,DRV8874PWPR,DRV8874PWPR,146.736,-69.9008,270,top
U4,AMS1117-5.0,SOT-223-3_TabPin2,124.2568,-114.3508,270,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,134.0866,-114.4778,270,top
U8,CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,174.3456,-133.0452,90,top
